week;doses_administered
2021-01-04;0.0
2021-01-11;0.0
2021-01-18;1861.0
2021-01-25;4877.25
2021-02-01;12919.4
2021-02-08;21188.17
2021-02-15;27504.71
2021-02-22;38450.43
2021-03-01;51629.57
2021-03-08;61541.14
2021-03-15;66642.14
2021-03-22;65250.71
2021-03-29;58426.57
2021-04-05;56420.29
2021-04-12;62075.14
2021-04-19;72529.71
2021-04-26;84780.43
2021-05-03;100302.14
2021-05-10;118543.29
2021-05-17;140568.14
2021-05-24;161859.86
2021-05-31;184888.86
2021-06-07;211134.57
2021-06-14;242874.0
2021-06-21;274944.86
2021-06-28;295127.71
2021-07-05;303111.57
2021-07-12;299136.57
2021-07-19;277522.29
2021-07-26;246515.71
2021-08-02;209884.14
2021-08-09;170763.0
2021-08-16;138144.0
2021-08-23;115243.0
2021-08-30;98250.86
2021-09-06;87537.57
2021-09-13;74987.0
2021-09-20;62730.71
2021-09-27;51717.29
2021-10-04;44581.0
2021-10-11;38772.14
2021-10-18;35094.71
2021-10-25;31471.86
2021-11-01;28421.29
2021-11-08;26585.57
2021-11-15;24756.43
2021-11-22;22963.57
2021-11-29;20739.86
2021-12-06;17452.0


