Datum;AgPosit;AgPosit%
2020-10-11;0.0;0.0
2020-10-12;40.0;7.6
2020-10-13;84.0;7.3
2020-10-14;31.0;3.3
2020-10-15;36.0;9.7
2020-10-16;27.0;8.4
2020-10-17;0.0;0.0
2020-10-18;0.0;0.0
2020-10-19;69.0;8.7
2020-10-20;38.0;6.2
2020-10-21;48.0;5.0
2020-10-22;141.0;6.6
2020-10-23;119.0;5.5
2020-10-24;65.0;5.4
2020-10-25;40.0;5.5
2020-10-26;231.0;10.7
2020-10-27;234.0;7.7
2020-10-28;225.0;9.3
2020-10-29;239.0;3.9
2020-10-30;492.0;1.2
2020-10-31;975.0;1.1
2020-11-01;376.0;1.2
2020-11-02;1331.0;5.0
2020-11-03;98.0;1.9
2020-11-04;82.0;2.3
2020-11-05;140.0;6.6
2020-11-06;327.0;0.9
2020-11-07;439.0;1.0
2020-11-08;143.0;1.2
2020-11-09;1154.0;6.5
2020-11-10;140.0;2.2
2020-11-11;101.0;2.2
2020-11-12;173.0;3.1
2020-11-13;158.0;2.6
2020-11-14;99.0;1.8
2020-11-15;33.0;2.7
2020-11-16;286.0;5.1
2020-11-17;224.0;5.7
2020-11-18;442.0;6.8
2020-11-19;770.0;6.3
2020-11-20;611.0;3.4
2020-11-21;322.0;3.5
2020-11-22;57.0;3.4
2020-11-23;884.0;2.1
2020-11-24;894.0;4.8
2020-11-25;733.0;5.0
2020-11-26;867.0;5.6
2020-11-27;787.0;4.4
2020-11-28;433.0;4.5
2020-11-29;180.0;6.5
2020-11-30;1717.0;3.8
2020-12-01;1597.0;5.3
2020-12-02;1663.0;5.3
2020-12-03;1274.0;4.4
2020-12-04;1260.0;4.1
2020-12-05;367.0;3.4
2020-12-06;129.0;3.8
2020-12-07;2164.0;6.8
2020-12-08;2960.0;7.0
2020-12-09;2306.0;6.6
2020-12-10;3108.0;6.8
2020-12-11;2560.0;5.8
2020-12-12;1000.0;5.9
2020-12-13;99.0;8.2
2020-12-14;3172.0;7.8
2020-12-15;4138.0;7.8
2020-12-16;3551.0;6.3
2020-12-17;3844.0;6.7
2020-12-18;3371.0;5.7
2020-12-19;1021.0;5.9
2020-12-20;496.0;3.2
2020-12-21;7090.0;8.8
2020-12-22;5528.0;6.9
2020-12-23;4697.0;5.2
2020-12-24;1018.0;6.0
