Datum;Dennych.PCR.prirastkov;PCR.Positive%
2020-03-06;1;0.3
2020-03-07;2;3.0
2020-03-08;2;2.6
2020-03-09;2;2.9
2020-03-10;0;0.0
2020-03-11;3;3.1
2020-03-12;11;11.6
2020-03-13;11;19.0
2020-03-14;12;6.1
2020-03-15;17;5.9
2020-03-16;11;6.9
2020-03-17;24;7.5
2020-03-18;8;3.6
2020-03-19;19;6.3
2020-03-20;14;3.8
2020-03-21;41;9.3
2020-03-22;7;2.9
2020-03-23;19;4.2
2020-03-24;12;2.5
2020-03-25;10;3.0
2020-03-26;43;4.7
2020-03-27;23;3.1
2020-03-28;22;3.1
2020-03-29;22;5.5
2020-03-30;27;3.9
2020-03-31;37;4.2
2020-04-01;26;2.2
2020-04-02;24;1.7
2020-04-03;21;1.1
2020-04-04;14;0.9
2020-04-05;49;4.7
2020-04-06;47;3.2
2020-04-07;101;4.9
2020-04-08;19;1.1
2020-04-09;14;0.6
2020-04-10;13;0.6
2020-04-11;14;0.9
2020-04-12;27;2.0
2020-04-13;66;5.1
2020-04-14;28;1.9
2020-04-15;114;3.8
2020-04-16;72;2.1
2020-04-17;40;1.3
2020-04-18;72;2.2
2020-04-19;12;0.5
2020-04-20;26;1.0
2020-04-21;45;1.3
2020-04-22;81;1.8
2020-04-23;35;0.9
2020-04-24;13;0.3
2020-04-25;6;0.1
2020-04-26;2;0.1
2020-04-27;3;0.2
2020-04-28;7;0.1
2020-04-29;5;0.1
2020-04-30;7;0.1
2020-05-01;4;0.1
2020-05-02;1;0.1
2020-05-03;5;0.3
2020-05-04;8;0.4
2020-05-05;8;0.2
2020-05-06;16;0.3
2020-05-07;10;0.2
2020-05-08;0;0.0
2020-05-09;2;0.1
2020-05-10;0;0.0
2020-05-11;8;0.4
2020-05-12;4;0.1
2020-05-13;8;0.2
2020-05-14;3;0.1
2020-05-15;13;0.3
2020-05-16;1;0.0
2020-05-17;1;0.1
2020-05-18;0;0.0
2020-05-19;1;0.0
2020-05-20;6;0.2
2020-05-21;1;0.0
2020-05-22;1;0.0
2020-05-23;5;0.3
2020-05-24;2;0.3
2020-05-25;2;0.1
2020-05-26;2;0.1
2020-05-27;5;0.2
2020-05-28;0;0.0
2020-05-29;1;0.0
2020-05-30;0;0.0
2020-05-31;1;0.4
2020-06-01;0;0.0
2020-06-02;3;0.1
2020-06-03;1;0.0
2020-06-04;0;0.0
2020-06-05;2;0.1
2020-06-06;0;0.0
2020-06-07;2;1.2
2020-06-08;1;0.1
2020-06-09;2;0.1
2020-06-10;8;0.5
2020-06-11;1;0.1
2020-06-12;3;0.2
2020-06-13;3;0.6
2020-06-14;4;8.5
2020-06-15;0;0.0
2020-06-16;9;0.8
2020-06-17;1;0.1
2020-06-18;14;1.7
2020-06-19;10;0.8
2020-06-20;1;0.3
2020-06-21;1;2.4
2020-06-22;1;0.2
2020-06-23;18;1.4
2020-06-24;23;2.5
2020-06-25;13;0.9
2020-06-26;14;0.9
2020-06-27;7;0.8
2020-06-28;1;1.6
2020-06-29;2;0.3
2020-06-30;20;1.0
2020-07-01;13;0.8
2020-07-02;20;1.1
2020-07-03;29;1.3
2020-07-04;15;1.9
2020-07-05;1;2.0
2020-07-06;2;0.2
2020-07-07;31;1.4
2020-07-08;53;2.3
2020-07-09;19;0.9
2020-07-10;23;0.8
2020-07-11;8;0.8
2020-07-12;1;0.4
2020-07-13;6;0.5
2020-07-14;19;0.9
2020-07-15;24;1.0
2020-07-16;14;0.8
2020-07-17;11;0.5
2020-07-18;3;0.7
2020-07-19;1;4.2
2020-07-20;41;1.2
2020-07-21;37;1.4
2020-07-22;31;1.4
2020-07-23;29;1.4
2020-07-24;23;1.0
2020-07-25;38;5.0
2020-07-26;2;0.9
2020-07-27;23;1.5
2020-07-28;41;1.8
2020-07-29;20;1.1
2020-07-30;27;1.2
2020-07-31;45;1.6
2020-08-01;7;1.2
2020-08-02;10;1.3
2020-08-03;14;1.1
2020-08-04;49;1.9
2020-08-05;63;2.4
2020-08-06;43;1.7
2020-08-07;43;1.4
2020-08-08;30;2.8
2020-08-09;3;0.5
2020-08-10;16;1.1
2020-08-11;75;2.4
2020-08-12;49;1.8
2020-08-13;62;2.3
2020-08-14;54;1.7
2020-08-15;47;2.3
2020-08-16;5;1.0
2020-08-17;15;0.9
2020-08-18;100;2.7
2020-08-19;80;2.3
2020-08-20;123;3.8
2020-08-21;91;2.4
2020-08-22;40;2.3
2020-08-23;68;7.3
2020-08-24;28;1.3
2020-08-25;84;2.1
2020-08-26;90;2.5
2020-08-27;102;2.3
2020-08-28;114;2.6
2020-08-29;34;1.7
2020-08-30;41;7.0
2020-08-31;72;2.6
2020-09-01;53;2.2
2020-09-02;121;3.4
2020-09-03;137;2.9
2020-09-04;226;3.8
2020-09-05;88;3.6
2020-09-06;22;2.4
