Datum;Pocet.umrti
2020-03-06;0
2020-03-07;0
2020-03-08;0
2020-03-09;0
2020-03-10;0
2020-03-11;0
2020-03-12;0
2020-03-13;0
2020-03-14;0
2020-03-15;0
2020-03-16;0
2020-03-17;0
2020-03-18;0
2020-03-19;0
2020-03-20;0
2020-03-21;0
2020-03-22;0
2020-03-23;0
2020-03-24;0
2020-03-25;0
2020-03-26;0
2020-03-27;0
2020-03-28;0
2020-03-29;0
2020-03-30;1
2020-03-31;1
2020-04-01;1
2020-04-02;1
2020-04-03;1
2020-04-04;1
2020-04-05;2
2020-04-06;2
2020-04-07;2
2020-04-08;2
2020-04-09;2
2020-04-10;2
2020-04-11;2
2020-04-12;2
2020-04-13;2
2020-04-14;6
2020-04-15;8
2020-04-16;9
2020-04-17;11
2020-04-18;12
2020-04-19;13
2020-04-20;14
2020-04-21;14
2020-04-22;15
2020-04-23;17
2020-04-24;17
2020-04-25;18
2020-04-26;18
2020-04-27;20
2020-04-28;21
2020-04-29;23
2020-04-30;23
2020-05-01;24
2020-05-02;24
2020-05-03;25
2020-05-04;25
2020-05-05;25
2020-05-06;26
2020-05-07;26
2020-05-08;26
2020-05-09;26
2020-05-10;26
2020-05-11;27
2020-05-12;27
2020-05-13;27
2020-05-14;27
2020-05-15;28
2020-05-16;28
2020-05-17;28
2020-05-18;28
2020-05-19;28
2020-05-20;28
2020-05-21;28
2020-05-22;28
2020-05-23;28
2020-05-24;28
2020-05-25;28
2020-05-26;28
2020-05-27;28
2020-05-28;28
2020-05-29;28
2020-05-30;28
2020-05-31;28
2020-06-01;28
2020-06-02;28
2020-06-03;28
2020-06-04;28
2020-06-05;28
2020-06-06;28
2020-06-07;28
2020-06-08;28
2020-06-09;28
2020-06-10;28
2020-06-11;28
2020-06-12;28
2020-06-13;28
2020-06-14;28
2020-06-15;28
2020-06-16;28
2020-06-17;28
2020-06-18;28
2020-06-19;28
2020-06-20;28
2020-06-21;28
2020-06-22;28
2020-06-23;28
2020-06-24;28
2020-06-25;28
2020-06-26;28
2020-06-27;28
2020-06-28;28
2020-06-29;28
2020-06-30;28
2020-07-01;28
2020-07-02;28
2020-07-03;28
2020-07-04;28
2020-07-05;28
2020-07-06;28
2020-07-07;28
2020-07-08;28
2020-07-09;28
2020-07-10;28
2020-07-11;28
2020-07-12;28
2020-07-13;28
2020-07-14;28
2020-07-15;28
2020-07-16;28
2020-07-17;28
2020-07-18;28
2020-07-19;28
2020-07-20;28
2020-07-21;28
2020-07-22;28
2020-07-23;28
2020-07-24;28
2020-07-25;28
2020-07-26;28
2020-07-27;28
2020-07-28;28
2020-07-29;28
2020-07-30;29
2020-07-31;29
2020-08-01;29
2020-08-02;29
2020-08-03;29
2020-08-04;29
2020-08-05;29
2020-08-06;31
2020-08-07;31
2020-08-08;31
2020-08-09;31
2020-08-10;31
2020-08-11;31
2020-08-12;31
2020-08-13;31
2020-08-14;31
2020-08-15;31
2020-08-16;31
2020-08-17;31
2020-08-18;33
2020-08-19;33
2020-08-20;33
2020-08-21;33
2020-08-22;33
2020-08-23;33
2020-08-24;33
2020-08-25;33
2020-08-26;33
2020-08-27;33
2020-08-28;33
2020-08-29;33
2020-08-30;33
2020-08-31;33
2020-09-01;33
2020-09-02;37
2020-09-03;37
2020-09-04;37
2020-09-05;37
2020-09-06;37
2020-09-07;37
2020-09-08;37
2020-09-09;37
2020-09-10;37
2020-09-11;38
2020-09-12;38
2020-09-13;38
2020-09-14;38
2020-09-15;38
2020-09-16;39
2020-09-17;39
2020-09-18;39
2020-09-19;39
2020-09-20;39
2020-09-21;40
2020-09-22;41
2020-09-23;41
2020-09-24;41
2020-09-25;44
2020-09-26;44
2020-09-27;44
2020-09-28;45
2020-09-29;48
2020-09-30;48
2020-10-01;54
2020-10-02;54
2020-10-03;55
2020-10-04;55
2020-10-05;55
2020-10-06;55
2020-10-07;57
2020-10-08;57
2020-10-09;61
2020-10-10;61
2020-10-11;61
2020-10-12;61
2020-10-13;66
2020-10-14;71
2020-10-15;71
2020-10-16;82
2020-10-17;88
2020-10-18;92
2020-10-19;98
2020-10-20;98
2020-10-21;115
2020-10-22;134
2020-10-23;159
2020-10-24;159
2020-10-25;165
2020-10-26;176
2020-10-27;184
2020-10-28;200
2020-10-29;212
2020-10-30;219
2020-10-31;219
2020-11-01;219
2020-11-02;235
2020-11-03;261
2020-11-04;286
2020-11-05;317
2020-11-06;351
2020-11-07;351
2020-11-08;366
2020-11-09;390
2020-11-10;414
2020-11-11;464
2020-11-12;491
2020-11-13;510
2020-11-14;510
2020-11-15;526
2020-11-16;557
2020-11-17;579
2020-11-18;579
2020-11-19;614
2020-11-20;644
2020-11-21;671
2020-11-22;693
2020-11-23;709
2020-11-24;732
2020-11-25;749
2020-11-26;771
2020-11-27;798
2020-11-28;816
2020-11-29;839
2020-11-30;868
2020-12-01;898
2020-12-02;930
2020-12-03;957
2020-12-04;981
2020-12-05;996
2020-12-06;1018
2020-12-07;1046
2020-12-08;1084
2020-12-09;1104
2020-12-10;1122
2020-12-11;1148
2020-12-12;1175
2020-12-13;1205
2020-12-14;1251
2020-12-15;1309
2020-12-16;1378
2020-12-17;1440
2020-12-18;1510
2020-12-19;1555
2020-12-20;1618
2020-12-21;1618
2020-12-22;1686
2020-12-23;1732
2020-12-24;1732
2020-12-25;1732
2020-12-26;1773
2020-12-27;1879
2020-12-28;1983
2020-12-29;2065
2020-12-30;2138
2020-12-31;2250
2021-01-01;2250
2021-01-02;2317
2021-01-03;2521
2021-01-04;2603
2021-01-05;2657
2021-01-06;2717
2021-01-07;2788
2021-01-08;2836
2021-01-09;2918
2021-01-10;3007
2021-01-11;3102
2021-01-12;3163
2021-01-13;3260
2021-01-14;3362
2021-01-15;3417
2021-01-16;3474
2021-01-17;3526
2021-01-18;3637
2021-01-19;3737
2021-01-20;3801
2021-01-21;3894
2021-01-22;3965
2021-01-23;4068
2021-01-24;4068
2021-01-25;4260
2021-01-26;4361
2021-01-27;4411
2021-01-28;4495
2021-01-29;4565
2021-01-30;4642
2021-01-31;4711
2021-02-01;4784
2021-02-02;4889
2021-02-03;4976
2021-02-04;5050
2021-02-05;5135
2021-02-06;5199
2021-02-07;5271
2021-02-08;5382
2021-02-09;5502
2021-02-10;5629
2021-02-11;5733
2021-02-12;5812
2021-02-13;5885
2021-02-14;5952
2021-02-15;6063
2021-02-16;6168
2021-02-17;6271
2021-02-18;6350
2021-02-19;6424
2021-02-20;6505
2021-02-21;6577
2021-02-22;6671
2021-02-23;6775
2021-02-24;6859
2021-02-25;6966
2021-02-26;7075
2021-02-27;7189
2021-02-28;7270
2021-03-01;7388
2021-03-02;7489
2021-03-03;7560
2021-03-04;7665
2021-03-05;7739
2021-03-06;7836
2021-03-07;7921
2021-03-08;8037
2021-03-09;8146
2021-03-10;8244
2021-03-11;8346
2021-03-12;8440
2021-03-13;8528
2021-03-14;8605
2021-03-15;8669
2021-03-16;8738
2021-03-17;8814
2021-03-18;8894
2021-03-19;8978
2021-03-20;9044
2021-03-21;9104
2021-03-22;9190
2021-03-23;9261
2021-03-24;9313
