Datum,Dennych.PCR.testov,Dennych.PCR.prirastkov,PCR%,AgTests,AgPosit,Ag%
2020-10-11,3998,504,12.61,0,0,0.0
2020-10-12,5058,531,10.5,525,40,7.62
2020-10-13,10228,1410,13.79,1152,84,7.29
2020-10-14,12502,1929,15.43,929,31,3.34
2020-10-15,14010,2075,14.81,372,36,9.68
2020-10-16,11904,1968,16.53,320,27,8.44
2020-10-17,10858,1567,14.43,0,0,0.0
2020-10-18,5025,860,17.11,92,0,0.0
2020-10-19,5946,705,11.86,792,69,8.71
2020-10-20,13832,2202,15.92,614,38,6.19
2020-10-21,9365,1728,18.45,954,48,5.03
2020-10-22,13369,2581,19.31,2138,141,6.59
2020-10-23,13525,2890,21.37,2161,119,5.51
2020-10-24,16048,3042,18.96,1194,65,5.44
2020-10-25,6175,1312,21.25,729,40,5.49
2020-10-26,5899,901,15.27,2161,231,10.69
2020-10-27,14642,2887,19.72,3036,234,7.71
2020-10-28,14355,2785,19.4,2415,225,9.32
2020-10-29,16556,3363,20.31,6185,239,3.86
2020-10-30,18074,2573,14.24,41366,492,1.19
2020-10-31,21949,2282,10.4,89674,975,1.09
2020-11-01,21477,1883,8.77,30176,376,1.25
2020-11-02,18994,1727,9.09,26701,1331,4.98
2020-11-03,13377,3216,24.04,5283,98,1.86
2020-11-04,12864,1962,15.25,3606,82,2.27
2020-11-05,11615,2354,20.27,2115,140,6.62
2020-11-06,15767,2579,16.36,34523,327,0.95
2020-11-07,15466,1828,11.82,45188,439,0.97
2020-11-08,4956,577,11.64,12172,143,1.17
2020-11-09,6813,1051,15.43,17656,1154,6.54
2020-11-10,12891,2058,15.96,6492,140,2.16
2020-11-11,12584,2591,20.59,4620,101,2.19
2020-11-12,10736,2024,18.85,5636,173,3.07
2020-11-13,10742,1771,16.49,6145,158,2.57
2020-11-14,6545,1200,18.33,5452,99,1.82
2020-11-15,1771,509,28.74,1245,33,2.65
2020-11-16,7837,1326,16.92,5642,286,5.07
2020-11-17,5833,1311,22.48,3919,224,5.72
2020-11-18,7913,1665,21.04,6546,442,6.75
2020-11-19,9836,1818,18.48,12193,770,6.32
2020-11-20,10554,1861,17.63,18110,611,3.37
2020-11-21,5691,984,17.29,9285,322,3.47
2020-11-22,1773,231,13.03,1701,57,3.35
2020-11-23,6545,1021,15.6,43113,884,2.05
2020-11-24,10145,1811,17.85,18446,894,4.85
2020-11-25,10723,1953,18.21,14726,733,4.98
2020-11-26,10928,1849,16.92,15446,867,5.61
2020-11-27,9892,1527,15.44,17829,787,4.41
2020-11-28,7536,1100,14.6,9705,433,4.46
2020-11-29,1063,196,18.44,2780,180,6.47
2020-11-30,7991,1254,15.69,45543,1717,3.77
2020-12-01,11136,2043,18.35,30271,1597,5.28
2020-12-02,10264,1982,19.31,31179,1663,5.33
2020-12-03,11221,2184,19.46,28876,1274,4.41
2020-12-04,12670,2070,16.34,30658,1260,4.11
2020-12-05,7195,1269,17.64,10764,367,3.41
2020-12-06,3415,552,16.16,3409,129,3.78
2020-12-07,10245,1949,19.02,31880,2164,6.79
2020-12-08,13277,2564,19.31,42544,2960,6.96
2020-12-09,15130,3125,20.65,34818,2306,6.62
2020-12-10,10938,2166,19.8,45813,3108,6.78
2020-12-11,17956,3707,20.64,44064,2560,5.81
2020-12-12,9991,2190,21.92,16907,1000,5.91
2020-12-13,2899,505,17.42,1209,99,8.19
2020-12-14,10901,2034,18.66,40532,3172,7.83
2020-12-15,16717,3565,21.33,52920,4138,7.82
2020-12-16,14921,3045,20.41,56605,3551,6.27
2020-12-17,18022,3991,22.15,57106,3844,6.73
2020-12-18,16197,3151,19.45,59351,3371,5.68
2020-12-19,9821,2061,20.99,17341,1021,5.89
2020-12-20,6291,1219,19.38,15296,496,3.24
2020-12-21,13289,2663,20.04,80767,7090,8.78
2020-12-22,18144,3687,20.32,80183,5528,6.89
2020-12-23,14238,2657,18.66,89656,4697,5.24
2020-12-24,18443,4046,21.94,16835,1018,6.05
2020-12-25,4249,1041,24.5,2463,141,5.72
2020-12-26,3550,874,24.62,2445,212,8.67
2020-12-27,2540,569,22.4,3286,304,9.25
2020-12-28,9330,2095,22.45,64039,6553,10.23
2020-12-29,11414,3041,26.64,70634,6702,9.49
2020-12-30,21978,6315,28.73,70706,5600,7.92
2020-12-31,16479,4965,30.13,77333,5511,7.13
2021-01-01,4954,1736,35.04,9330,590,6.32
2021-01-02,4288,1219,28.43,6178,526,8.51
2021-01-03,3111,636,20.44,3402,272,8.0
2021-01-04,12396,2989,24.11,74487,7358,9.88
2021-01-05,17822,4959,27.83,73076,6121,8.38
2021-01-06,8257,2137,25.88,15691,1028,6.55
2021-01-07,10657,2980,27.96,75001,5311,7.08
2021-01-08,16368,4072,24.88,76476,3931,5.14
2021-01-09,12844,2973,23.15,60528,1887,3.12
2021-01-10,4328,860,19.87,28529,925,3.24
2021-01-11,12119,2410,19.89,74449,3294,4.42
2021-01-12,15440,3576,23.16,63541,3029,4.77
2021-01-13,12342,2923,23.68,56781,2630,4.63
2021-01-14,11875,2729,22.98,50671,2293,4.53
2021-01-15,11392,2045,17.95,64145,2176,3.39
2021-01-16,2850,573,20.11,49199,1128,2.29
2021-01-17,6252,1060,16.95,41414,1634,3.95
2021-01-18,9817,1909,19.45,74647,3385,4.53
2021-01-19,12124,2484,20.49,91100,2670,2.93
2021-01-20,12668,2464,19.45,110376,2328,2.11
2021-01-21,11018,1785,16.2,217375,3103,1.43
2021-01-22,20264,1544,7.62,248840,2848,1.14
2021-01-23,16498,1905,11.55,781689,6515,0.83
2021-01-24,3806,551,14.48,407052,3793,0.93
2021-01-25,10950,1590,14.52,225531,2738,1.21
2021-01-26,14015,2775,19.8,181015,2667,1.47
2021-01-27,9811,2035,20.74,73265,1727,2.36
2021-01-28,11293,2581,22.85,72934,2090,2.87
2021-01-29,11207,2182,19.47,154371,2716,1.76
2021-01-30,8201,1723,21.01,486302,4819,0.99
