datum,hospitalizovany
2020-04-30,51
2020-05-01,43
2020-05-02,41
2020-05-03,42
2020-05-04,38
2020-05-05,35
2020-05-06,34
2020-05-07,29
2020-05-08,22
2020-05-09,22
2020-05-10,20
2020-05-11,20
2020-05-12,18
2020-05-13,20
2020-05-14,21
2020-05-15,21
2020-05-16,19
2020-05-17,18
2020-05-18,18
2020-05-19,15
2020-05-20,14
2020-05-21,12
2020-05-22,9
2020-05-23,9
2020-05-24,9
2020-05-25,10
2020-05-26,7
2020-05-27,6
2020-05-28,6
2020-05-29,5
2020-05-30,5
2020-05-31,4
2020-06-01,4
2020-06-02,3
2020-06-03,3
2020-06-04,2
2020-06-05,3
2020-06-06,3
2020-06-07,3
2020-06-08,3
2020-06-09,3
2020-06-10,3
2020-06-11,2
2020-06-12,2
2020-06-13,2
2020-06-14,2
2020-06-15,1
2020-06-16,0
2020-06-17,2
2020-06-18,1
2020-06-19,2
2020-06-20,2
2020-06-21,2
2020-06-22,3
2020-06-23,3
2020-06-24,4
2020-06-25,5
2020-06-26,5
2020-06-27,5
2020-06-28,5
2020-06-29,9
2020-06-30,9
2020-07-01,5
2020-07-02,4
2020-07-03,4
2020-07-04,5
2020-07-05,5
2020-07-06,6
2020-07-07,6
2020-07-08,6
2020-07-09,6
2020-07-10,6
2020-07-11,6
2020-07-12,6
2020-07-13,6
2020-07-14,7
2020-07-15,6
2020-07-16,7
2020-07-17,7
2020-07-18,7
2020-07-19,7
2020-07-20,9
2020-07-21,10
2020-07-22,10
2020-07-23,12
2020-07-24,12
2020-07-25,12
2020-07-26,12
2020-07-27,14
2020-07-28,15
2020-07-29,15
2020-07-30,12
2020-07-31,12
2020-08-01,12
2020-08-02,12
2020-08-03,10
2020-08-04,10
2020-08-05,12
2020-08-06,14
2020-08-07,24
2020-08-08,26
2020-08-09,27
2020-08-10,29
2020-08-11,38
2020-08-12,33
2020-08-13,33
2020-08-14,32
2020-08-15,33
2020-08-16,35
2020-08-17,37
2020-08-18,38
2020-08-19,40
2020-08-20,41
2020-08-21,39
2020-08-22,38
2020-08-23,37
2020-08-24,38
2020-08-25,39
2020-08-26,47
2020-08-27,44
2020-08-28,47
2020-08-29,46
2020-08-30,47
2020-08-31,60
2020-09-01,62
2020-09-02,64
2020-09-03,64
2020-09-04,66
2020-09-05,71
2020-09-06,71
2020-09-07,83
2020-09-08,91
2020-09-09,87
2020-09-10,86
2020-09-11,89
2020-09-12,86
2020-09-13,86
2020-09-14,93
2020-09-15,93
2020-09-16,91
2020-09-17,94
2020-09-18,85
2020-09-19,80
2020-09-20,83
2020-09-21,107
2020-09-22,107
2020-09-23,108
2020-09-24,113
2020-09-25,143
2020-09-26,154
2020-09-27,153
2020-09-28,169
2020-09-29,185
2020-09-30,195
2020-10-01,191
2020-10-02,213
2020-10-03,214
2020-10-04,218
2020-10-05,240
2020-10-06,256
2020-10-07,276
2020-10-08,298
2020-10-09,295
2020-10-10,298
2020-10-11,303
2020-10-12,306
2020-10-13,350
2020-10-14,375
2020-10-15,413
2020-10-16,469
2020-10-17,481
2020-10-18,481
2020-10-19,560
2020-10-20,622
2020-10-21,668
2020-10-22,674
2020-10-23,765
2020-10-24,891
2020-10-25,973
2020-10-26,1025
2020-10-27,1087
2020-10-28,1150
2020-10-29,1237
2020-10-30,1320
2020-10-31,1360
2020-11-01,1376
2020-11-02,1405
2020-11-03,1392
2020-11-04,1444
2020-11-05,1441
2020-11-06,1440
2020-11-07,1453
2020-11-08,1526
2020-11-09,1499
2020-11-10,1550
2020-11-11,1553
2020-11-12,1528
2020-11-13,1474
2020-11-14,1418
2020-11-15,1509
2020-11-16,1546
2020-11-17,1558
2020-11-18,1527
2020-11-19,1501
2020-11-20,1469
2020-11-21,1485
2020-11-22,1508
2020-11-23,1488
2020-11-24,1491
2020-11-25,1472
2020-11-26,1480
2020-11-27,1475
2020-11-28,1487
2020-11-29,1550
2020-11-30,1582
2020-12-01,1613
2020-12-02,1643
2020-12-03,1675
2020-12-04,1711
2020-12-05,1728
