Datum,AgPosit,AgPosit%,PCRPosit,PCRPosit%
2020-10-11,0.0,0.0,504.0,12.6
2020-10-12,20.0,3.8,517.5,11.55
2020-10-13,41.33,4.97,815.0,12.3
2020-10-14,38.75,4.55,1093.5,13.08
2020-10-15,38.2,5.58,1289.8,13.42
2020-10-16,36.33,6.05,1402.83,13.93
2020-10-17,31.14,5.19,1426.29,14.0
2020-10-18,31.14,5.19,1477.14,14.64
2020-10-19,35.29,5.34,1502.0,14.84
2020-10-20,28.71,5.19,1615.14,15.14
2020-10-21,31.14,5.43,1586.43,15.59
2020-10-22,46.14,4.99,1658.71,16.23
2020-10-23,59.29,4.57,1790.43,16.93
2020-10-24,68.57,5.34,2001.14,17.59
2020-10-25,74.29,6.13,2065.71,18.17
2020-10-26,97.43,6.41,2093.71,18.66
2020-10-27,125.43,6.63,2191.57,19.2
2020-10-28,150.71,7.24,2342.57,19.33
2020-10-29,164.71,6.86,2454.29,19.47
2020-10-30,218.0,6.24,2409.0,18.44
2020-10-31,348.0,5.63,2300.43,17.21
2020-11-01,396.0,5.01,2382.0,15.44
2020-11-02,553.14,4.2,2500.0,14.56
2020-11-03,533.71,3.37,2547.0,15.17
2020-11-04,513.29,2.37,2429.43,14.59
2020-11-05,499.14,2.76,2285.29,14.59
2020-11-06,475.57,2.71,2286.14,14.9
2020-11-07,399.0,2.7,2221.29,15.1
2020-11-08,365.71,2.7,2034.71,15.5
2020-11-09,340.43,2.91,1938.14,16.4
2020-11-10,346.43,2.96,1772.71,15.26
2020-11-11,349.14,2.94,1862.57,16.01
2020-11-12,353.86,2.44,1815.43,15.81
2020-11-13,329.71,2.69,1700.0,15.83
2020-11-14,281.14,2.8,1610.29,16.76
2020-11-15,265.43,3.01,1600.57,19.2
2020-11-16,141.43,2.81,1639.86,19.41
2020-11-17,153.43,3.31,1533.14,20.34
2020-11-18,202.14,3.97,1400.86,20.4
2020-11-19,287.43,4.43,1371.43,20.34
2020-11-20,352.14,4.54,1384.29,20.5
2020-11-21,384.0,4.79,1353.43,20.36
2020-11-22,387.43,4.89,1313.71,18.11
2020-11-23,472.86,4.46,1270.14,17.93
2020-11-24,568.57,4.33,1341.57,17.27
2020-11-25,610.14,4.07,1382.71,16.87
2020-11-26,624.0,3.97,1387.14,16.64
2020-11-27,649.14,4.11,1339.43,16.33
2020-11-28,665.0,4.26,1356.0,15.94
2020-11-29,682.57,4.7,1351.0,16.71
2020-11-30,801.57,4.94,1384.29,16.73
2020-12-01,902.0,5.01,1417.43,16.79
2020-12-02,1034.86,5.06,1421.57,16.94
2020-12-03,1093.0,4.89,1469.43,17.31
2020-12-04,1160.57,4.84,1547.0,17.44
2020-12-05,1151.14,4.69,1571.14,17.87
2020-12-06,1145.71,4.29,1622.0,17.56
2020-12-07,1209.57,4.71,1721.29,18.03
2020-12-08,1404.29,4.96,1795.71,18.17
2020-12-09,1496.14,5.14,1959.0,18.37
2020-12-10,1758.14,5.49,1956.43,18.41
2020-12-11,1943.86,5.73,2190.29,19.03
2020-12-12,2034.29,6.09,2321.86,19.64
2020-12-13,2028.14,6.73,2315.14,19.81
2020-12-14,2172.14,6.87,2327.29,19.77
2020-12-15,2340.43,6.99,2470.29,20.06
2020-12-16,2518.29,6.94,2458.86,20.01
2020-12-17,2623.43,6.93,2719.57,20.34
2020-12-18,2739.29,6.91,2640.14,20.19
2020-12-19,2742.29,6.91,2621.71,20.06
2020-12-20,2799.0,6.2,2723.71,20.34
2020-12-21,3358.71,6.34,2813.57,20.53
2020-12-22,3557.29,6.21,2831.0,20.39
2020-12-23,3721.0,6.06,2775.57,20.14
2020-12-24,3317.29,5.96,2783.43,20.11
2020-12-25,2855.86,5.96,2482.0,20.83
2020-12-26,2740.29,6.36,2312.43,21.34
2020-12-27,2712.86,7.23,2219.57,21.77
2020-12-28,2636.14,7.43,2138.43,22.13
2020-12-29,2803.86,7.8,2046.14,23.03
2020-12-30,2932.86,8.19,2568.71,24.46
2020-12-31,3574.71,8.34,2700.0,25.63
2021-01-01,3638.86,8.43,2799.29,27.13
2021-01-02,3683.71,8.4,2848.57,27.67
2021-01-03,3679.14,8.21,2858.14,27.39
2021-01-04,3794.14,8.17,2985.86,27.61
2021-01-05,3711.14,8.01,3259.86,27.79
2021-01-06,3058.0,7.83,2663.0,27.39
2021-01-07,3029.43,7.83,2379.43,27.09
2021-01-08,3506.71,7.66,2713.14,25.64
2021-01-09,3701.14,6.89,2963.71,24.89
2021-01-10,3794.43,6.2,2995.71,24.81
2021-01-11,3213.86,5.41,2913.0,24.21
2021-01-12,2772.14,4.9,2715.43,23.56
2021-01-13,3001.0,4.61,2827.71,23.24
2021-01-14,2569.86,4.24,2791.86,22.53
2021-01-15,2319.14,4.0,2502.29,21.54
